% inputNoiseStandardDeviation: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -8 '

@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class1	{e, f, g, h}
@ATTRIBUTE class2	{e, f, g, h}
@ATTRIBUTE class3	{e, f, g, h}
@ATTRIBUTE class4	{e, f, g, h}
@ATTRIBUTE class5	{e, f, g, h}
@ATTRIBUTE class6	{e, f, g, h}
@ATTRIBUTE class7	{e, f, g, h}
@ATTRIBUTE class8	{e, f, g, h}

@DATA
-2.763256029230423,0.4952413393290083,0.2930306534014807,e,g,g,h,g,g,f,h
0.5399153462157076,-0.16936342964302986,-1.3796635893638571,e,g,e,g,g,h,e,f
0.8572564474994853,0.629124047081429,-0.6536546019762691,f,g,g,h,e,h,e,f
0.48497236386802184,-0.4192284197699917,0.8342784284412238,e,g,g,h,g,g,f,h
0.9221264944258238,-0.020419678470490032,-0.5326998859646142,e,g,g,h,g,g,e,h
0.5846506569990888,-0.39291832449017455,0.9999218172271211,e,g,g,h,g,g,f,h
0.7045041116754608,0.2149197121203845,-0.4429474504095293,f,h,e,h,f,f,g,f
0.48879663431061643,-0.952743085476178,1.6786262730945802,e,f,h,f,g,g,g,f
-0.4753364145153196,-0.7475645923178738,-0.37298931949921993,h,g,g,e,e,e,f,h
0.45268275508974803,-0.9327512709817377,1.7011567386187532,h,e,f,h,h,e,e,e
0.666778705373288,-0.4406174209887587,1.8930265269110604,f,f,f,f,h,f,f,f
-1.8662043427995836,-1.4597858225724851,-0.6669206091639107,e,h,f,f,h,h,f,g
-0.631822526409928,0.9217330228772946,-0.26516525188331186,g,e,f,f,e,g,g,f
-1.8609845207510411,-0.8009867665409708,0.9522566429071164,f,f,f,f,g,g,h,g
1.5450224257506417,0.82739625778127,-1.071985904008623,h,e,h,g,e,h,f,h
0.44483761022882196,-0.3704158936409036,-1.4288607241965836,h,g,g,h,f,e,g,h
0.39160480410484866,0.8590697858966205,0.8967756480869189,h,g,h,g,f,e,g,g
0.9871748706287213,0.7285184936074043,-0.5883388863285223,g,g,g,h,h,h,e,f
-1.8780200228027586,-0.8996544936802772,0.8909855487623255,h,e,h,e,h,h,f,h
0.5470111445911129,-0.9099662230463816,1.6360004496753153,f,f,h,f,g,g,g,f
-0.031143202414700116,0.8455107311535572,-0.26933350879330764,g,h,e,e,g,h,f,e
-2.860752301254791,0.5769772533283598,0.26187570919745873,e,g,g,h,g,g,f,h
-0.8730994409207512,0.9337893821793771,-0.19535008401425774,f,e,f,f,e,g,g,e
0.6196518662338621,-0.5057312424179979,0.9324325925979394,e,g,g,e,g,g,f,h
0.2600855695013363,0.1839921844183521,-0.49872196788580375,e,e,f,h,h,f,e,e
-3.0375269328896306,0.5679037323656646,0.2319850967483002,e,g,g,h,g,g,f,h
-0.44621549343542605,-0.9065120948428561,-0.4058463288954721,h,g,g,h,h,e,f,h
0.5842523694058114,0.868881814961418,0.7597659097438507,g,g,g,h,e,h,e,f
