% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -2 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h}
@ATTRIBUTE class2	{e, f, g, h}

@DATA
a,c,b,g,h
c,a,d,e,e
d,d,c,g,e
c,b,c,g,h
c,c,b,f,h
b,b,b,g,h
a,a,d,g,h
c,a,a,e,e
b,b,b,e,f
d,c,a,h,h
c,a,d,e,f
b,d,c,g,e
a,c,b,g,h
d,d,c,e,e
a,c,a,g,h
c,c,a,e,h
b,b,d,h,h
d,d,c,f,f
c,c,d,e,h
a,a,c,g,h
c,c,a,e,h
d,d,c,e,f
d,c,a,f,f
a,b,b,g,h
b,b,a,e,e
c,c,a,e,h
d,d,a,g,e
c,d,a,f,h
c,a,a,h,g
c,d,a,g,h
c,a,d,e,e
b,d,b,g,g
c,c,a,e,g
d,c,a,g,h
a,c,b,g,h
a,c,b,g,h
d,d,d,e,f
d,d,a,g,h
c,a,d,e,e
b,d,c,g,f
c,d,a,e,g
c,c,a,e,g
b,c,c,g,e
c,c,b,g,h
d,d,c,f,g
b,c,b,h,h
c,b,c,g,g
c,b,c,g,h
d,c,a,e,g
d,a,a,g,h
d,d,c,e,f
a,b,b,g,h
a,c,b,g,h
b,b,d,e,f
d,c,c,e,f
d,d,a,h,h
a,d,c,e,g
a,a,c,e,g
b,d,c,g,e
d,d,c,e,g
d,a,a,g,h
a,c,b,g,g
d,d,c,e,f
d,a,a,e,e
d,c,a,f,f
a,b,a,e,e
d,d,c,e,f
d,d,a,g,h
c,c,d,e,h
c,c,a,e,h
d,c,a,f,f
a,b,b,e,h
a,c,a,g,h
a,c,b,g,h
d,d,b,e,e
b,c,a,e,g
d,d,a,g,h
d,d,a,g,h
d,d,a,g,h
a,d,c,g,e
d,d,c,e,e
a,c,b,g,h
c,c,a,e,e
c,c,a,e,g
d,a,a,g,h
d,a,a,g,h
d,c,c,e,f
a,b,b,e,f
a,c,b,g,h
c,c,b,g,h
a,b,a,g,h
b,d,b,g,h
a,c,b,f,h
d,d,c,e,g
a,c,b,g,h
d,a,b,h,h
a,b,b,f,h
a,b,b,e,h
d,b,a,g,e
c,d,a,e,g
a,c,b,g,h
c,a,d,e,e
d,a,b,h,h
a,c,b,g,h
b,d,d,e,g
c,c,d,e,h
d,d,b,e,g
d,a,d,e,e
a,c,a,g,h
d,d,c,e,e
c,c,a,e,g
d,a,b,g,h
a,b,b,g,h
a,c,b,g,h
c,c,a,f,g
d,a,d,g,h
d,a,a,g,h
c,d,c,g,e
d,d,c,g,e
a,a,c,g,e
a,c,b,g,g
d,a,a,g,h
b,c,a,e,e
c,a,a,h,e
b,c,c,g,h
c,c,b,g,h
d,b,a,h,g
c,a,c,e,e
c,a,d,e,h
c,c,b,f,h
d,a,c,e,f
d,d,c,e,e
a,b,a,g,f
c,b,c,f,g
d,d,c,e,f
b,d,d,g,e
d,a,a,g,h
d,a,a,h,g
c,b,c,h,g
b,c,b,h,h
d,d,a,f,h
c,c,b,g,h
c,c,b,g,e
c,c,a,e,h
b,d,c,g,e
c,c,b,g,h
d,d,c,e,e
a,c,b,g,h
c,d,d,e,e
d,d,b,g,h
c,a,d,e,e
c,b,b,e,f
d,d,c,e,e
b,b,d,e,f
c,c,b,g,h
a,c,b,g,h
b,d,c,g,h
d,b,b,g,h
d,d,c,e,f
b,b,d,e,f
c,c,a,e,h
d,c,a,f,f
d,a,d,e,e
a,c,a,g,h
d,a,a,h,g
c,c,a,e,g
d,a,a,g,h
d,a,a,h,g
a,d,c,e,g
d,d,c,f,f
a,d,c,e,g
d,d,c,e,e
d,a,a,g,h
a,d,c,e,g
d,d,c,e,e
a,d,c,e,g
d,c,a,g,f
d,a,a,g,h
a,c,a,f,e
c,b,c,e,f
d,c,b,h,g
a,d,c,g,e
d,d,c,e,f
c,d,a,h,g
a,d,c,e,g
