% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -2 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class2	{e, f, g, h, i, j, k, l}

@DATA
a,a,b,g,l
c,a,b,l,h
b,c,c,l,h
b,c,b,j,j
b,a,a,k,k
d,a,c,e,i
d,a,c,l,k
d,b,d,l,k
d,b,d,l,k
d,b,d,l,k
d,b,a,g,l
c,c,c,k,g
a,a,b,g,l
d,c,a,h,i
a,b,c,l,e
d,b,c,e,e
c,c,c,k,g
c,c,c,e,e
d,b,a,g,l
d,b,d,l,k
c,a,d,e,h
c,a,d,e,h
c,d,b,k,g
b,c,b,e,l
c,c,c,k,g
b,c,c,l,k
d,c,d,e,i
b,b,a,e,l
d,c,a,g,l
b,b,a,f,l
b,c,b,k,f
b,b,b,e,l
c,a,c,l,h
b,a,b,e,f
b,c,b,f,l
d,d,d,e,i
d,b,d,l,k
b,c,c,l,j
d,a,c,l,k
c,c,b,j,j
c,d,b,k,g
b,c,c,l,k
c,a,c,e,i
c,d,b,k,g
d,a,c,l,k
a,b,a,h,f
b,c,c,l,h
c,a,b,k,h
b,a,a,e,l
a,a,a,l,k
d,b,a,g,l
a,b,c,l,e
d,c,a,h,i
d,a,c,l,k
d,c,a,e,f
d,c,a,f,l
a,b,a,h,f
d,c,d,e,i
a,a,b,g,l
d,a,d,l,l
b,c,c,l,k
a,b,d,h,i
c,c,c,k,g
d,c,c,j,g
d,b,d,l,k
d,c,c,e,e
c,a,d,e,h
b,c,b,f,l
b,c,b,j,j
d,b,c,l,k
c,b,d,e,h
b,b,a,g,l
c,a,b,l,h
b,b,c,j,j
b,d,b,j,j
c,a,b,e,h
b,c,c,l,k
c,b,b,l,h
a,b,d,l,k
d,c,a,e,f
a,b,d,h,i
a,b,b,l,e
a,a,a,l,k
d,c,a,g,e
b,c,b,f,l
c,d,b,k,g
b,c,c,l,j
d,c,d,e,i
d,c,d,e,i
c,b,d,f,e
c,a,c,e,i
a,b,a,e,e
b,d,a,l,j
d,a,c,l,k
a,b,d,g,l
a,b,a,i,f
b,b,a,f,k
c,b,b,l,h
c,a,d,j,h
d,b,a,h,i
d,c,d,e,i
b,b,a,f,l
b,c,c,l,e
c,d,b,k,g
d,a,c,e,i
c,a,b,k,f
d,b,d,l,k
d,a,c,e,e
a,b,a,f,l
b,c,b,j,j
d,c,a,h,i
d,c,a,e,f
a,b,a,h,f
a,b,c,e,i
b,c,b,f,l
c,c,c,e,e
b,b,a,f,l
b,c,c,l,k
a,b,a,h,f
a,b,d,h,i
a,b,a,f,l
a,b,c,g,l
c,a,d,e,h
b,c,b,j,j
d,d,d,e,i
d,b,a,g,l
a,a,b,e,f
c,b,b,l,h
b,c,c,l,k
b,a,a,l,k
d,b,d,l,k
b,c,b,l,k
b,a,a,l,k
a,a,b,g,e
a,b,c,j,j
c,a,d,j,h
a,b,a,h,e
c,c,c,k,g
d,b,d,g,l
d,b,a,g,l
d,a,b,g,l
d,b,a,h,f
d,a,c,l,k
d,b,a,g,l
a,a,b,g,l
a,b,a,i,f
b,a,a,l,k
b,b,d,j,h
c,b,d,e,e
d,b,d,l,k
b,a,a,l,k
a,b,a,h,f
b,a,a,f,l
b,c,b,i,j
a,b,d,g,l
a,a,c,l,e
b,d,b,k,g
a,b,d,g,l
c,a,d,f,h
c,c,b,i,j
c,a,b,k,g
d,b,d,l,l
c,c,c,e,e
c,d,b,k,g
d,b,a,g,l
d,c,a,e,i
b,c,c,l,h
a,a,b,e,f
d,d,a,k,h
d,c,a,e,f
b,b,b,l,k
d,c,a,g,l
b,c,b,f,l
d,b,d,f,i
c,b,d,j,g
b,b,a,f,l
c,a,d,e,h
b,c,c,l,h
b,c,c,l,k
d,b,c,e,i
b,c,c,l,h
d,a,c,l,k
c,b,d,j,f
d,c,a,h,i
b,c,b,f,l
c,a,d,e,h
b,c,b,j,j
c,d,b,k,g
c,b,d,j,g
c,b,d,j,g
a,c,b,j,j
b,b,a,f,l
a,b,d,l,k
d,a,b,l,h
d,a,d,e,i
a,c,c,l,k
d,b,a,g,l
d,c,d,e,i
c,a,b,k,g
d,b,d,l,k
d,b,d,l,k
d,c,a,h,i
d,b,d,l,k
d,c,d,e,i
c,a,d,e,e
d,d,d,e,i
d,a,d,l,k
c,c,d,e,e
b,c,b,i,j
b,c,c,l,k
b,b,a,f,l
c,d,a,k,g
b,b,c,l,e
b,a,d,e,j
b,b,d,e,e
b,a,b,l,k
c,d,b,k,g
c,c,c,e,e
c,c,a,h,i
b,c,c,l,h
b,c,c,l,k
b,d,b,j,j
c,c,b,f,l
a,c,b,l,k
b,c,b,f,l
b,c,c,l,k
d,a,d,l,k
b,c,c,l,k
d,a,c,e,i
d,b,a,e,k
d,b,a,g,k
b,c,c,l,h
a,b,d,g,l
c,b,d,j,h
c,a,b,e,k
b,b,b,f,l
b,a,a,l,k
d,b,d,k,k
a,b,c,l,e
c,d,b,k,g
b,c,a,j,j
b,c,c,j,j
c,b,a,f,l
a,c,b,f,l
b,c,b,j,j
c,c,c,f,e
