% continuousInputs: false
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$TwoPartitionLimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
a, a, b, m, i, r, r, f, j
b, c, a, i, u, m, e, s, i
c, a, a, m, t, q, f, l, i
a, a, a, i, u, l, m, m, g
d, a, a, m, t, q, h, h, j
d, a, d, i, f, l, m, o, g
c, a, a, m, t, q, e, l, i
c, b, c, p, o, u, p, q, h
c, c, a, k, p, h, r, o, o
a, a, a, j, q, j, g, j, r
c, d, a, k, p, h, e, l, i
d, c, d, m, t, q, s, t, h
c, d, c, t, e, u, g, l, s
a, c, b, u, o, i, s, q, e
b, c, a, r, l, p, e, s, j
d, d, a, e, t, l, e, l, i
b, b, c, j, q, j, p, k, i
d, c, c, m, i, r, r, o, o
d, d, a, e, u, l, u, l, i
d, b, c, m, i, r, s, t, h
a, a, b, m, i, r, g, j, r
d, d, d, e, u, l, e, l, i
a, a, b, f, g, m, q, f, j
b, a, c, m, i, r, p, k, i
c, d, c, q, t, q, g, k, s
c, a, a, m, t, q, h, i, j
c, a, d, l, u, l, i, f, g
a, b, a, r, l, p, g, j, r
c, b, b, k, u, l, f, t, t
b, d, a, i, u, l, e, s, j
a, c, c, q, l, p, h, h, j
a, b, c, s, l, p, g, j, f
c, c, d, l, u, l, i, f, g
