% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -4 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f}
@ATTRIBUTE class2	{e, f, g, h}
@ATTRIBUTE class3	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class4	{e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t}

@DATA
a,c,d,f,e,l,f
c,c,d,e,h,g,i
b,b,d,e,h,g,i
d,b,c,e,f,l,n
a,d,d,e,h,g,o
a,a,c,f,h,i,q
a,c,c,f,e,l,n
a,a,b,e,g,h,o
c,a,d,e,f,k,p
c,d,d,f,h,i,q
a,a,c,f,h,h,q
c,c,d,f,e,i,q
b,d,c,e,f,g,j
a,b,d,e,f,e,e
b,b,d,f,e,e,e
c,d,a,e,g,g,o
b,b,d,f,h,g,i
b,a,a,e,g,k,p
d,d,b,e,f,l,e
b,d,c,e,h,g,i
d,d,b,f,f,k,e
c,c,d,e,g,g,i
a,c,d,f,e,l,n
b,d,a,e,g,g,o
d,b,c,f,f,e,o
d,b,a,e,f,l,p
b,b,d,e,h,g,i
a,d,d,f,g,g,o
c,b,c,e,h,i,q
a,c,d,f,g,e,q
c,a,a,e,f,k,p
b,a,a,e,f,j,p
d,b,c,f,f,l,o
a,d,d,f,e,l,f
d,a,c,f,h,i,q
b,b,c,f,h,j,q
c,d,a,e,g,g,t
b,a,c,f,h,i,q
b,a,c,f,h,j,q
a,c,d,e,g,e,q
c,c,d,e,h,g,i
d,d,a,e,g,h,t
a,d,a,e,f,i,k
c,c,d,e,h,g,i
b,d,c,e,h,f,i
b,d,c,e,e,h,i
a,a,b,e,e,l,t
b,a,a,e,f,k,p
b,a,c,f,h,i,q
a,b,d,f,e,l,n
a,b,c,f,h,i,q
a,a,a,e,f,k,p
a,d,d,f,h,i,q
b,d,c,e,g,h,t
d,a,c,f,f,j,k
a,b,d,e,f,l,t
d,d,b,e,f,l,f
a,b,a,e,f,l,e
b,b,d,f,h,g,i
a,c,a,f,e,e,f
a,a,b,e,e,l,t
d,d,b,e,f,l,e
