% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -4 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f}
@ATTRIBUTE class2	{e, f}
@ATTRIBUTE class3	{e, f}
@ATTRIBUTE class4	{e, f}

@DATA
c,c,a,e,e,f,f
b,b,c,e,f,e,e
a,d,d,e,f,f,e
b,b,c,e,e,f,f
a,a,b,e,f,f,e
a,a,b,e,f,f,e
b,c,b,e,e,f,f
d,c,a,e,e,f,f
b,c,c,f,e,e,e
d,b,b,e,f,e,f
d,b,b,e,e,e,e
a,c,b,e,f,e,f
c,d,c,e,f,f,e
d,d,a,e,e,e,e
c,d,c,e,f,e,e
a,a,b,e,f,f,e
d,c,a,f,f,e,f
d,b,b,e,e,e,e
c,c,a,e,e,e,f
c,d,c,e,f,f,f
d,c,a,f,f,e,f
c,d,c,e,f,f,e
a,b,c,e,f,f,f
c,a,a,f,f,f,f
b,c,b,f,f,f,f
d,c,a,f,f,f,e
d,d,d,e,f,e,e
a,b,c,e,e,f,f
c,b,b,f,e,f,e
b,b,b,e,f,e,e
a,a,d,e,f,e,f
a,a,c,f,f,f,f
a,a,b,e,f,f,e
c,c,d,e,e,f,f
c,d,a,e,f,e,e
c,b,d,e,e,f,f
c,b,b,f,e,e,e
b,b,c,e,e,f,f
a,c,c,e,f,e,f
d,d,a,e,f,f,e
c,c,a,f,e,e,f
a,b,c,f,f,f,f
d,d,a,e,f,f,e
d,d,d,e,e,e,e
d,d,d,e,e,e,f
a,b,c,f,f,f,f
c,c,d,e,e,f,e
c,b,d,f,e,f,f
a,b,c,f,f,f,f
b,b,c,e,e,f,f
b,b,c,e,e,f,f
d,d,d,e,e,e,e
c,c,d,e,e,f,f
b,c,c,e,e,f,f
a,a,b,e,f,f,e
c,a,a,f,e,f,f
c,c,a,f,e,f,e
d,b,b,e,e,f,e
d,d,a,f,e,e,e
c,d,c,e,f,f,e
b,a,c,e,f,f,f
c,c,d,f,e,f,e
b,c,b,f,f,f,f
c,b,c,f,e,f,f
c,b,b,f,e,e,e
d,c,a,f,f,f,f
c,a,a,f,f,f,f
c,a,a,f,f,f,f
c,c,b,f,e,e,e
a,c,c,e,e,e,e
c,b,c,e,f,e,f
c,c,a,f,e,f,e
b,c,b,e,e,f,f
a,a,d,f,f,e,f
a,c,c,f,e,e,e
c,d,a,f,f,f,f
b,b,c,e,e,f,f
c,a,a,f,f,f,f
a,d,d,e,f,f,f
c,b,b,e,e,f,f
c,c,a,f,e,f,e
d,b,b,e,e,e,e
d,a,d,e,f,e,f
b,a,c,f,e,e,f
d,d,d,f,e,f,e
a,a,d,f,f,e,f
a,b,c,e,e,f,f
c,c,b,f,e,e,f
c,c,a,f,e,f,e
a,a,d,e,f,e,f
b,a,c,e,e,e,f
a,a,b,e,f,e,e
a,a,b,e,f,f,e
c,d,c,e,f,f,f
b,a,c,e,e,e,e
d,d,d,e,e,e,e
d,a,d,f,e,f,e
a,c,a,e,e,f,f
c,d,c,e,f,e,e
d,c,a,f,f,e,f
d,c,a,f,f,e,f
b,c,b,e,f,e,f
d,d,d,e,e,e,e
c,b,d,e,f,e,f
c,c,a,f,e,f,e
a,d,c,f,e,e,e
a,d,a,f,e,e,e
c,c,d,f,e,e,e
c,c,d,e,e,f,f
a,a,b,e,f,f,e
c,a,a,f,f,f,e
c,b,a,f,f,e,e
a,c,c,e,e,e,e
a,a,d,e,f,e,f
c,b,b,e,e,f,f
c,c,a,f,f,f,e
d,d,d,e,e,e,e
b,b,c,e,e,f,f
c,c,a,f,f,f,e
b,a,c,f,f,f,e
c,b,d,e,e,f,f
d,b,b,f,e,e,e
c,d,c,f,f,f,f
c,b,d,e,f,f,f
c,a,d,f,e,f,f
c,b,d,e,f,e,f
a,a,d,e,e,e,f
c,c,a,f,e,f,e
a,a,d,e,f,f,f
c,b,d,e,e,f,f
d,a,d,e,e,e,e
d,c,a,f,f,e,f
a,b,c,e,e,f,f
b,d,b,e,f,e,f
d,d,d,e,e,e,e
d,b,b,e,e,e,e
c,c,a,f,e,f,e
a,a,b,e,f,f,e
a,a,d,e,e,e,f
c,c,c,e,f,f,e
c,c,c,e,e,e,e
d,d,d,e,e,e,e
d,d,a,e,e,e,e
c,b,d,e,f,f,f
c,c,a,f,e,f,e
