% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -4 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h}
@ATTRIBUTE class2	{e, f, g, h}
@ATTRIBUTE class3	{e, f, g, h}
@ATTRIBUTE class4	{e, f, g, h}

@DATA
a,c,c,g,f,f,h
b,d,b,g,g,e,g
c,a,b,f,f,g,e
a,c,b,e,h,h,h
a,d,b,f,g,e,g
c,a,a,h,h,f,h
b,d,c,g,f,f,h
b,d,d,f,f,g,e
a,d,c,e,g,g,e
d,c,c,h,e,f,h
d,d,b,h,h,f,h
b,a,b,f,h,g,f
a,c,c,g,f,f,h
d,c,c,g,h,f,f
c,a,b,g,e,g,e
c,a,b,e,h,e,h
a,d,d,f,f,g,e
c,a,a,h,e,f,h
a,d,b,g,f,f,h
a,d,a,e,g,g,e
a,c,c,g,f,f,h
d,d,c,h,f,h,g
b,d,c,g,g,f,h
d,c,c,g,g,g,e
d,b,c,h,h,h,h
a,d,d,f,f,g,e
c,a,c,f,e,g,f
d,c,a,g,f,e,h
b,a,a,g,g,g,e
a,d,a,e,g,g,e
a,c,c,g,f,f,h
b,d,c,g,f,f,h
c,a,b,f,h,h,h
b,a,b,f,h,g,f
b,d,c,g,f,f,h
c,a,b,f,e,g,e
a,c,b,f,h,h,h
a,c,b,f,h,h,h
b,c,c,g,f,f,h
b,d,c,g,f,g,h
a,d,a,f,g,e,g
b,d,d,f,f,g,f
a,c,c,f,f,f,h
c,a,a,h,e,f,h
c,b,c,h,h,h,g
a,b,c,g,f,f,h
a,d,b,f,g,e,g
a,d,b,f,g,e,g
d,d,c,e,h,f,h
b,d,c,g,f,f,h
c,a,b,f,h,h,h
d,c,c,g,f,f,h
c,c,c,h,e,f,f
d,b,d,e,f,g,h
d,b,d,g,g,g,e
c,b,b,h,h,h,g
a,d,b,f,h,h,h
c,b,b,e,h,h,h
a,c,b,f,h,h,h
a,c,b,e,h,e,h
a,c,c,g,f,e,h
d,d,b,e,g,g,e
d,c,d,f,g,e,g
b,a,a,g,g,g,e
c,a,b,f,h,h,h
a,a,b,f,h,g,g
a,c,b,g,h,h,h
a,d,a,e,g,g,e
b,a,a,e,g,h,e
d,b,c,h,h,h,g
a,d,a,e,f,h,e
a,c,c,g,f,f,h
a,c,c,g,f,f,h
d,b,b,e,h,h,h
b,c,b,f,h,h,h
d,d,c,h,h,f,h
d,d,d,h,f,h,g
a,c,c,g,f,f,h
c,d,c,g,f,f,h
c,b,c,h,h,h,g
a,b,c,g,f,f,h
c,a,b,f,f,g,e
d,d,c,h,h,f,h
a,c,c,f,f,e,e
a,d,a,e,g,g,e
b,a,a,h,e,f,h
a,d,a,e,g,g,e
d,c,c,g,h,f,f
a,d,d,f,f,g,e
a,d,b,f,g,e,g
a,c,c,g,f,f,h
d,d,d,h,f,h,g
d,b,b,e,h,h,h
b,a,d,g,g,g,e
a,c,b,e,g,g,e
c,a,b,f,h,h,h
b,a,d,g,h,g,f
d,b,d,h,g,g,e
a,d,a,e,g,g,e
c,b,c,h,h,e,f
c,a,b,f,f,f,e
d,d,c,h,h,f,g
a,c,d,h,e,f,h
a,d,b,e,g,e,g
c,a,a,h,e,f,h
b,c,d,f,g,e,g
a,c,c,g,f,f,h
d,d,c,h,f,e,h
d,c,c,h,e,f,h
