% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -4 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class2	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class3	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class4	{e, f, g, h, i, j, k, l}

@DATA
c,a,b,g,e,j,k
a,b,b,j,h,f,k
c,c,c,f,f,g,j
a,a,d,i,g,j,i
c,c,c,f,g,h,g
c,a,a,g,e,j,l
a,a,d,i,g,i,i
c,b,a,h,l,k,g
b,b,a,i,l,k,g
a,a,b,h,l,k,g
d,d,d,f,g,h,g
c,a,a,k,e,j,k
a,a,d,i,g,j,i
a,a,d,g,i,f,l
c,b,a,g,k,f,l
c,b,a,i,l,l,e
a,c,c,f,g,h,g
d,b,c,f,g,h,g
a,d,a,f,i,e,k
c,a,b,i,f,j,f
a,a,d,i,g,j,i
b,d,a,k,h,g,l
a,d,a,f,i,e,k
b,d,a,k,h,g,l
a,d,a,f,i,e,j
d,c,c,f,g,h,g
d,d,d,j,f,f,k
b,b,a,h,l,k,g
a,b,a,j,h,f,k
c,b,a,i,k,e,e
a,a,d,i,f,j,i
c,a,b,i,f,j,f
c,d,d,f,g,g,g
a,d,a,f,i,e,k
a,d,a,f,i,e,j
d,d,d,f,g,h,g
c,b,a,g,j,f,l
a,a,d,i,g,j,i
c,a,a,g,e,j,l
c,c,d,k,g,h,k
c,a,b,i,f,j,f
b,b,a,i,l,k,g
c,c,c,j,f,e,j
b,d,a,k,h,h,l
c,a,a,g,e,j,l
a,a,b,h,l,k,g
c,a,d,h,l,k,g
d,a,d,g,j,f,l
c,b,b,i,k,e,e
b,c,c,g,f,g,j
a,a,d,i,g,j,i
a,d,a,e,i,e,k
c,c,c,e,f,g,h
d,b,b,j,h,f,k
b,b,a,f,g,g,k
c,c,d,k,g,h,k
a,a,b,h,l,k,g
c,d,c,g,g,g,g
a,b,b,k,h,g,k
c,a,d,h,k,k,g
c,c,c,g,f,g,j
c,b,a,f,j,f,l
c,c,d,f,g,g,g
c,b,a,i,l,e,e
a,a,d,g,j,e,l
a,d,a,f,i,e,k
b,d,a,k,h,g,l
c,a,b,j,f,j,f
a,d,d,f,i,f,l
d,d,d,f,g,h,g
c,c,c,k,f,e,k
a,a,c,g,j,f,l
a,a,d,j,g,j,h
a,a,a,j,h,f,k
b,a,a,f,g,f,k
a,a,d,i,g,j,i
d,c,b,f,h,h,g
a,d,b,k,h,g,l
a,a,d,i,g,j,i
c,a,b,l,f,h,h
c,a,b,i,f,j,f
c,a,a,e,f,g,i
a,a,d,i,g,i,i
b,a,d,g,j,f,l
c,d,d,f,g,g,g
d,c,d,j,f,e,k
a,b,b,j,h,f,l
a,a,d,i,g,j,i
d,c,c,g,f,g,j
c,a,d,k,e,j,k
c,d,d,f,f,g,g
d,d,d,f,g,i,g
c,c,d,k,g,h,k
c,c,c,g,f,g,j
d,d,d,f,g,h,g
c,b,d,f,g,g,k
c,c,c,g,f,g,j
a,a,a,h,l,k,g
c,d,d,j,f,e,k
a,a,b,h,l,k,f
d,d,c,g,l,k,g
c,b,a,i,k,e,e
a,a,b,h,l,k,g
c,b,b,g,j,f,k
d,d,a,j,f,e,k
a,a,d,i,g,j,i
c,c,d,k,g,h,k
c,c,c,e,f,h,h
c,a,a,g,e,j,l
c,c,d,l,g,h,k
c,c,d,f,g,g,g
c,c,c,e,f,h,h
a,d,a,f,i,e,k
d,c,d,f,g,h,g
c,c,c,g,f,g,i
d,d,d,j,f,e,k
a,d,a,f,h,e,k
c,b,a,g,i,g,l
b,b,a,g,l,k,h
c,b,a,i,l,l,l
a,a,b,h,l,k,g
d,d,d,f,h,h,g
d,d,d,i,f,e,j
d,a,d,i,f,j,i
c,a,d,h,l,j,g
c,c,c,e,f,h,h
c,b,d,k,g,h,k
a,b,b,j,h,f,k
b,b,a,h,l,k,g
b,b,a,h,l,k,f
a,b,b,k,e,j,j
c,d,d,f,g,g,g
a,a,d,i,f,j,i
c,d,c,f,g,g,g
d,a,d,f,g,g,j
c,b,d,f,g,g,k
a,d,a,f,i,e,k
c,a,a,k,e,j,k
b,a,a,k,h,g,l
a,d,a,g,i,e,k
a,a,d,k,g,h,k
d,a,a,h,j,e,e
b,b,a,h,l,k,g
c,a,a,g,e,j,l
c,b,a,k,l,f,i
c,a,a,g,f,j,l
b,b,a,h,l,k,g
d,d,a,j,f,e,k
d,b,c,f,f,g,g
d,c,d,j,f,e,k
a,d,b,f,i,e,k
c,a,b,i,f,j,f
a,d,a,f,j,e,k
b,d,a,k,h,g,l
c,d,d,f,g,g,g
c,c,c,j,f,f,k
a,b,b,j,h,f,k
b,d,a,j,h,g,e
c,c,d,k,g,h,k
c,c,c,g,f,g,j
c,a,b,e,f,h,h
c,d,d,j,f,e,k
c,d,d,g,g,g,g
c,c,a,g,j,f,e
c,d,d,h,l,k,g
c,d,d,f,g,g,g
d,b,c,i,k,e,e
b,a,a,k,h,g,l
c,a,a,k,l,f,i
c,c,d,k,g,g,k
d,b,c,f,g,g,g
c,c,c,g,f,g,j
d,b,a,g,k,f,l
c,a,d,k,e,j,j
c,b,a,g,j,f,l
a,d,a,f,i,e,k
c,c,d,k,g,h,k
b,d,a,k,h,g,l
c,d,d,f,g,g,g
c,b,a,i,k,e,e
b,b,a,h,l,l,g
a,b,b,j,i,f,k
d,b,d,f,g,h,f
a,a,d,i,g,j,i
c,c,c,j,f,e,k
a,a,d,g,j,g,l
d,a,a,g,l,i,l
a,a,d,i,g,j,i
a,b,b,g,j,f,l
c,d,c,f,f,g,g
d,c,c,f,g,h,g
a,b,b,j,g,f,k
d,d,d,j,g,e,k
d,a,d,k,e,j,k
b,d,a,k,h,g,l
d,d,d,j,f,e,k
b,d,a,k,h,f,l
c,c,d,j,g,h,k
c,d,d,f,g,g,g
c,c,c,e,f,h,h
d,c,c,f,g,h,g
c,b,a,i,k,e,e
c,a,c,i,f,k,e
b,c,a,k,h,g,l
a,d,d,i,g,j,i
c,b,a,g,j,e,l
c,c,c,e,e,h,h
a,a,b,h,l,k,g
c,c,b,j,f,e,k
a,c,c,f,g,h,g
c,c,c,h,f,g,j
a,a,d,i,f,j,i
c,a,a,h,l,k,g
d,c,c,f,g,h,g
a,b,b,h,l,k,g
a,a,d,g,j,f,l
b,d,a,k,h,g,l
c,c,d,k,g,h,k
c,d,d,f,g,g,g
c,a,d,k,e,j,j
b,a,a,g,e,j,l
d,b,b,i,k,e,l
c,c,c,g,e,g,j
a,d,d,f,g,h,g
c,b,a,g,j,f,l
a,a,b,h,l,k,h
d,c,c,g,f,g,j
a,d,a,f,i,e,k
a,d,a,g,i,e,k
a,a,b,h,l,k,g
d,d,d,g,h,h,g
c,a,d,k,e,j,k
d,c,a,k,g,h,k
a,a,a,h,l,k,g
d,c,c,f,g,h,g
c,d,d,f,g,g,g
c,d,d,f,g,g,g
a,b,b,j,h,f,k
d,c,c,f,g,h,g
d,d,c,f,g,h,g
d,d,d,f,g,h,g
c,a,a,g,e,j,l
c,d,d,f,g,g,g
b,b,a,h,l,k,g
c,b,c,g,f,g,j
c,b,a,g,j,f,l
d,c,c,f,g,h,g
c,c,d,g,f,g,j
c,c,d,k,g,h,k
a,d,a,f,i,l,j
c,d,b,i,f,j,f
d,d,d,f,g,g,g
a,b,b,k,e,j,k
c,a,d,k,l,f,i
c,a,b,h,f,j,e
a,d,d,i,f,e,k
a,a,d,i,g,j,j
c,c,d,k,g,h,k
a,b,b,j,h,f,k
c,c,d,k,g,i,k
c,c,d,j,g,h,k
c,a,b,k,l,f,i
b,d,d,k,h,g,l
c,d,d,f,f,g,g
c,a,d,f,g,g,k
c,d,c,j,g,l,k
a,d,a,f,i,e,k
b,b,a,h,l,k,g
c,a,b,e,f,h,h
b,d,a,f,i,e,k
a,a,d,h,g,j,i
c,c,c,e,f,h,i
d,c,d,f,g,i,g
d,d,d,f,g,h,g
a,d,a,k,h,g,l
a,c,b,f,g,g,g
d,d,a,j,f,e,k
c,c,d,k,g,h,k
d,d,d,j,f,e,k
d,c,c,f,g,h,h
d,d,d,j,f,f,j
a,a,d,i,g,j,i
a,a,b,h,l,k,g
c,c,d,k,g,h,k
a,a,b,h,l,k,g
c,d,d,f,g,g,f
b,b,a,f,g,g,k
c,a,d,f,g,g,k
a,a,d,i,g,j,i
c,a,d,e,g,g,k
d,b,c,f,g,g,g
d,d,d,j,f,e,k
b,b,a,k,h,g,l
c,a,d,k,e,j,k
a,d,b,f,i,e,k
c,a,d,f,g,g,h
b,d,a,k,h,g,l
d,c,d,f,g,h,g
c,a,a,k,l,f,j
b,a,a,h,l,k,g
d,d,d,j,f,e,k
c,c,c,g,g,g,j
c,c,d,e,f,i,h
c,a,a,g,e,j,k
a,d,d,f,g,h,g
d,d,d,i,e,e,k
c,c,b,e,f,h,h
c,b,a,h,j,f,e
d,b,a,g,j,f,l
a,a,c,i,g,i,i
c,c,d,k,g,h,k
a,a,d,i,g,j,i
b,b,a,h,l,j,f
d,b,c,f,g,h,g
a,d,d,f,j,l,k
a,d,a,f,i,e,k
c,a,b,l,f,h,h
b,d,a,k,h,g,k
d,a,a,f,h,g,k
c,d,a,g,e,j,l
b,a,d,i,g,j,i
a,a,d,i,g,j,i
a,a,d,g,j,f,l
c,a,b,e,f,h,h
b,b,a,f,h,g,l
c,d,c,g,g,g,k
b,b,a,f,g,g,k
c,b,a,g,j,f,l
d,a,a,i,f,j,f
d,d,d,f,g,h,g
b,d,a,k,h,g,l
c,c,c,g,f,g,j
d,d,d,f,g,h,g
b,d,a,k,h,g,l
