% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -8 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h}
@ATTRIBUTE class2	{e, f, g, h}
@ATTRIBUTE class3	{e, f, g, h}
@ATTRIBUTE class4	{e, f, g, h}
@ATTRIBUTE class5	{e, f, g, h}
@ATTRIBUTE class6	{e, f, g, h}
@ATTRIBUTE class7	{e, f, g, h}
@ATTRIBUTE class8	{e, f, g, h}

@DATA
a,b,d,h,g,g,f,g,h,e,h
d,a,a,e,e,e,e,e,e,f,f
d,d,d,g,e,e,h,h,h,e,f
b,a,c,g,g,f,g,h,h,f,g
c,a,d,g,g,g,g,g,f,f,g
c,d,d,g,e,e,h,g,h,h,f
c,d,a,g,e,e,f,g,h,g,f
c,a,a,g,g,f,h,h,f,g,g
a,a,d,h,e,e,f,g,h,g,f
b,a,a,g,e,h,h,h,e,f,e
b,b,d,g,e,h,h,g,g,h,f
b,a,d,f,h,h,h,g,e,f,e
c,a,d,h,g,g,f,g,h,e,e
d,d,d,f,h,e,e,f,h,g,g
b,c,d,e,e,h,g,e,h,f,e
b,a,a,f,e,h,h,g,e,f,e
a,d,b,f,h,g,h,g,h,g,f
c,a,d,g,g,g,h,g,g,f,g
a,a,a,h,e,e,f,g,h,g,f
c,c,c,g,g,f,e,h,g,g,g
d,a,a,e,h,e,e,e,e,f,f
c,a,c,g,g,f,h,h,g,f,g
a,d,a,f,e,h,g,e,h,f,h
b,c,c,f,e,e,e,e,e,f,f
c,a,c,g,g,f,h,h,g,g,g
c,a,a,h,e,e,f,g,h,g,f
b,a,a,f,e,h,h,g,e,f,e
b,b,c,g,e,h,h,h,h,h,f
a,d,b,h,h,h,h,f,f,e,h
b,d,a,h,h,h,h,f,f,e,h
c,a,c,g,g,f,h,h,g,g,g
a,a,d,h,e,f,e,g,h,g,f
a,c,c,e,e,h,g,e,h,f,h
d,a,a,e,e,e,e,e,e,f,f
a,a,c,h,e,e,f,g,h,g,f
