% inputNoiseProbability: 0.1
% numNoisyOutputColumns: 0
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInput: 3
% resultRows: 2000
% Number of inputs before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -8 '

@ATTRIBUTE x1	{a, b, c, d}
@ATTRIBUTE x2	{a, b, c, d}
@ATTRIBUTE x3	{a, b, c, d}
@ATTRIBUTE class1	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class2	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class3	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class4	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class5	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class6	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class7	{e, f, g, h, i, j, k, l}
@ATTRIBUTE class8	{e, f, g, h, i, j, k, l}

@DATA
d,d,b,i,i,e,k,l,j,k,j
c,c,a,h,h,e,k,f,h,e,i
b,c,c,f,i,g,f,e,l,j,l
d,b,c,f,e,e,h,g,i,e,f
d,c,b,f,e,e,g,g,i,e,f
d,c,a,f,i,h,f,e,l,j,l
b,c,c,f,e,e,h,g,h,e,f
a,c,a,f,l,e,h,g,i,e,f
c,a,b,e,g,g,k,e,k,k,k
d,a,b,h,j,e,j,k,j,k,j
a,c,c,f,g,g,k,l,l,k,k
c,b,b,k,l,j,h,j,e,h,h
c,a,b,e,g,g,k,e,k,k,k
c,b,b,l,l,j,h,j,e,h,h
d,b,a,h,f,j,i,e,k,i,k
b,b,a,g,h,i,h,f,i,k,l
b,c,c,f,e,e,h,f,i,e,f
d,d,b,i,e,k,e,h,l,e,j
c,c,c,f,e,e,h,g,i,f,f
c,b,a,l,k,j,h,j,e,h,h
b,b,a,f,f,l,h,g,h,e,f
b,a,a,g,h,i,h,f,j,k,l
b,b,a,g,f,e,h,g,i,f,f
b,b,a,g,h,i,h,f,i,k,l
d,c,b,f,e,e,h,g,i,e,f
c,a,b,h,g,l,k,g,h,e,i
b,a,a,l,f,i,k,g,h,k,g
b,a,a,g,h,i,h,f,i,k,l
b,a,a,g,h,i,h,f,i,k,l
b,c,c,f,i,h,f,e,l,j,l
c,d,c,l,k,j,h,j,e,h,h
b,a,d,l,e,f,j,l,j,h,l
b,a,a,g,g,i,h,f,i,k,l
c,a,d,l,g,i,l,g,i,k,g
d,c,a,f,e,e,h,g,i,e,f
d,d,a,k,h,f,i,k,h,g,i
d,c,a,g,e,e,h,f,i,f,f
b,d,b,h,j,e,k,l,i,k,j
b,a,d,e,g,i,l,g,i,k,g
b,c,c,g,i,h,f,e,l,j,l
b,a,a,l,e,f,j,e,j,h,l
d,c,a,g,e,e,g,g,i,e,f
b,b,a,f,e,e,h,g,i,e,f
b,d,b,i,l,h,l,f,e,l,l
b,b,a,f,e,e,h,g,i,e,f
b,a,d,l,e,f,j,l,i,h,k
c,b,b,k,l,j,h,j,e,h,h
b,d,b,i,l,h,l,f,e,l,e
c,d,c,l,l,j,g,j,l,h,h
b,c,a,f,e,e,h,g,i,e,f
c,a,d,l,l,k,h,j,e,h,h
d,c,a,f,e,e,h,g,i,e,f
c,b,b,l,l,j,h,j,f,h,h
d,c,b,h,j,e,k,l,j,k,j
d,c,a,f,e,e,i,g,i,f,g
d,c,b,l,l,j,h,j,e,h,h
b,a,d,e,g,i,l,g,i,k,h
c,d,c,l,l,i,h,j,e,h,h
c,d,b,h,j,e,k,k,j,k,j
d,d,b,h,j,e,k,l,j,k,j
b,c,c,f,f,e,h,h,i,f,f
b,a,a,g,h,i,h,f,i,k,l
b,d,c,l,l,j,h,j,f,h,h
c,c,a,h,h,f,k,f,h,e,i
b,c,c,f,e,l,h,g,i,e,e
d,d,b,h,j,e,k,l,j,j,j
a,d,b,h,j,e,k,l,i,k,j
b,a,a,g,h,i,h,f,j,k,l
c,d,a,h,h,e,k,f,h,e,h
b,a,b,h,g,e,k,f,h,l,j
b,d,c,i,j,e,k,l,j,k,i
b,a,a,g,h,i,h,f,i,k,l
b,a,d,l,e,f,j,l,i,h,l
d,d,b,i,e,l,e,h,e,e,j
b,c,c,f,e,e,h,f,i,e,f
b,c,c,f,e,e,h,g,i,e,f
c,c,a,h,h,e,k,f,h,e,i
b,a,a,g,h,i,h,f,i,j,l
d,b,a,f,g,j,e,i,e,l,j
d,c,b,f,e,e,h,g,i,e,f
d,b,a,g,g,j,e,i,e,l,j
d,c,a,f,e,e,h,g,i,e,f
d,c,a,f,e,e,h,g,i,e,f
b,a,b,h,h,e,k,f,h,e,i
d,c,b,f,e,e,h,g,i,e,f
c,c,b,h,h,e,k,f,h,e,i
b,a,d,e,g,i,e,f,i,k,g
d,c,b,f,e,e,g,g,i,e,f
b,a,a,h,h,e,j,f,h,e,i
a,b,b,i,l,j,g,f,h,e,h
b,d,d,k,e,f,j,l,i,g,l
b,a,a,g,h,i,g,f,i,k,l
c,d,a,h,k,e,k,l,j,k,j
d,c,a,f,i,h,f,e,k,j,l
d,d,b,i,e,k,l,h,l,e,j
d,d,b,h,j,e,k,l,j,k,j
c,d,c,l,l,j,h,j,e,i,h
b,b,a,f,e,l,g,g,i,e,g
d,c,a,k,h,f,i,k,h,g,h
d,c,a,f,e,e,h,g,i,e,f
c,b,b,l,l,j,h,j,e,h,h
c,d,c,l,l,j,g,k,e,h,h
a,b,b,h,l,j,g,f,h,e,h
b,a,d,l,f,f,j,l,i,h,l
d,d,b,h,j,e,k,l,j,k,j
c,d,c,l,l,j,g,k,e,h,h
b,c,b,e,g,g,j,e,k,j,k
d,c,b,f,e,e,h,g,i,e,f
a,b,c,j,l,k,g,f,h,e,h
d,d,b,h,j,f,k,e,j,k,j
b,a,d,e,g,i,l,g,i,k,g
a,b,a,h,f,j,i,e,k,i,k
b,a,b,h,h,e,k,f,h,e,i
b,b,a,f,e,e,h,g,i,e,f
b,a,c,e,g,i,l,g,i,k,g
c,d,b,h,j,e,k,l,j,k,i
b,d,d,l,e,f,j,l,i,h,l
b,a,a,g,h,h,h,f,i,k,l
d,b,a,f,g,j,f,i,e,e,j
a,a,d,e,g,i,l,g,i,l,g
b,c,c,f,e,e,h,g,i,e,e
c,b,b,l,l,j,h,j,e,h,h
d,b,a,f,e,e,h,g,i,e,f
d,b,a,f,f,j,e,i,e,k,j
a,b,c,f,i,h,f,e,l,j,l
b,a,b,h,j,e,k,l,j,k,j
d,c,a,f,e,e,h,g,i,e,f
d,d,b,h,j,e,k,l,j,k,j
d,c,a,f,e,e,h,g,i,e,f
d,c,a,f,i,h,f,e,l,k,l
b,a,c,e,g,g,l,e,k,l,k
a,a,b,g,h,i,h,f,i,k,l
c,d,c,l,l,j,h,j,e,h,i
b,a,a,k,e,e,j,l,i,h,l
d,c,b,l,l,j,h,j,e,h,h
a,b,b,i,l,j,g,f,h,e,h
d,c,a,f,e,e,h,g,i,e,f
b,d,c,f,i,h,f,e,l,j,l
c,b,b,k,l,j,h,j,e,g,h
c,c,a,l,e,f,i,l,h,h,l
b,d,a,g,h,i,h,f,i,k,k
b,d,b,h,j,e,l,l,j,k,j
c,a,b,e,g,g,k,e,k,k,k
d,d,a,h,j,e,k,l,j,k,j
d,d,c,l,l,j,h,j,e,h,h
c,c,a,h,h,e,k,f,h,e,i
b,d,b,i,l,h,l,f,e,l,l
b,a,b,h,k,e,k,l,j,k,j
b,c,c,f,e,e,h,f,i,e,f
a,b,b,i,l,j,g,f,g,e,h
d,d,b,h,i,f,k,l,j,j,j
d,d,b,h,j,e,k,l,j,k,j
b,d,a,g,h,i,h,f,i,k,l
b,d,a,g,j,e,l,e,j,k,j
d,d,b,i,l,j,g,f,h,f,h
b,c,c,f,i,h,f,e,l,j,l
c,b,c,l,l,j,h,j,e,h,h
c,a,b,h,h,e,k,f,h,e,i
b,a,b,h,j,e,k,l,j,k,k
d,c,a,f,e,f,h,f,i,e,f
d,b,a,f,f,j,e,i,e,l,j
d,b,a,f,g,j,e,h,e,l,j
c,c,a,f,e,e,h,g,i,f,f
d,c,a,k,h,f,i,k,h,f,i
b,a,b,g,j,e,k,l,j,k,j
d,c,d,e,e,e,i,g,i,e,f
b,d,b,j,l,h,l,f,e,l,l
c,c,c,e,g,g,k,f,k,j,l
c,c,a,h,h,l,k,f,h,e,i
d,c,a,f,e,e,h,g,i,l,f
d,c,a,f,e,e,h,g,i,e,e
a,b,b,i,l,j,f,f,h,e,h
d,c,a,f,i,g,f,e,l,j,l
b,a,a,g,h,i,g,g,i,l,l
c,c,a,h,h,e,k,f,h,e,i
d,c,a,f,e,e,h,g,h,e,f
b,a,a,f,h,i,h,f,i,j,l
b,b,a,f,e,e,h,g,i,e,f
b,a,d,l,e,f,j,l,i,h,l
d,d,b,h,j,e,k,l,j,l,j
d,d,b,i,l,j,e,h,l,e,j
b,b,b,h,h,e,k,f,i,e,j
d,c,a,k,h,f,i,k,h,g,i
b,b,d,e,g,i,l,f,i,k,g
d,c,b,f,e,f,h,h,i,e,f
c,b,b,l,l,j,h,i,e,h,h
c,b,b,l,l,k,i,k,e,h,h
d,c,a,k,h,f,i,k,h,g,j
b,d,b,h,j,e,k,l,i,k,j
d,c,a,f,e,f,h,f,i,e,g
d,a,b,f,g,f,j,e,k,k,k
c,a,b,l,h,g,k,e,k,k,k
c,b,b,l,l,j,h,j,e,h,h
a,b,b,h,l,j,g,f,i,l,i
d,b,a,f,g,j,e,j,e,l,k
c,b,b,l,l,j,h,j,e,g,h
d,c,b,f,e,e,h,g,i,e,f
d,d,b,i,j,e,k,l,j,k,j
b,d,a,g,h,i,h,g,i,k,l
b,a,b,g,h,e,k,f,h,e,i
c,b,b,l,l,k,h,j,e,h,h
c,c,b,f,e,l,h,g,i,e,f
d,d,b,h,j,e,k,l,j,k,j
a,c,b,f,e,f,h,g,i,e,f
a,b,b,i,l,j,g,f,g,e,h
b,d,b,i,l,h,l,f,e,l,l
d,c,a,k,g,g,i,k,h,g,i
b,b,a,g,h,i,h,f,i,j,l
b,a,b,h,j,e,k,l,j,j,j
d,b,a,h,h,e,k,f,h,e,i
b,d,b,h,i,e,k,l,i,k,j
d,d,c,h,j,l,k,l,j,k,j
b,a,a,e,e,f,j,l,i,h,l
c,c,a,l,f,f,j,l,j,h,l
b,d,b,i,l,h,l,f,e,l,l
d,b,a,f,g,j,f,i,f,l,i
