% continuousInputs: false
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$IndependentGenerator
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
b, b, d, u, e, f, i, s, k
b, b, c, l, l, l, e, k, t
b, b, d, o, e, t, g, r, l
a, a, b, r, s, p, i, l, g
c, a, d, h, j, h, m, f, t
d, a, a, s, l, t, f, s, j
b, a, d, p, m, o, i, t, h
a, a, b, r, t, i, r, i, i
a, d, a, h, r, k, i, f, p
b, b, b, t, i, m, f, s, o
d, b, c, g, m, j, k, t, k
c, c, c, p, s, g, j, t, r
a, d, a, g, m, m, f, g, o
b, b, b, g, l, u, u, e, j
d, a, a, r, l, p, f, m, j
d, b, b, r, t, k, h, f, o
b, a, d, p, s, m, i, l, i
a, a, b, r, s, i, g, i, u
b, c, b, r, q, k, k, f, g
b, b, d, f, u, o, g, q, m
d, a, a, m, i, o, k, f, i
d, a, c, p, m, j, o, r, m
a, d, c, l, t, k, s, p, h
d, d, a, f, e, l, f, s, j
d, b, d, s, u, k, l, q, l
b, c, b, j, j, g, u, f, p
b, c, a, o, j, k, r, e, i
a, b, c, f, j, k, o, u, u
b, d, a, r, m, m, m, t, p
a, d, d, p, u, r, p, h, r
b, d, a, e, r, u, m, h, u
c, c, a, i, f, r, f, s, h
a, d, a, l, e, j, q, f, r
a, b, d, t, p, o, g, f, j
b, d, a, e, m, r, m, u, t
b, d, d, s, m, l, m, o, t
a, d, b, r, h, i, l, i, u
c, c, a, k, f, t, f, t, o
a, d, c, h, t, k, r, f, k
b, b, d, u, r, p, i, j, k
c, c, a, o, f, t, f, s, u
c, c, c, f, s, o, i, q, r
d, d, a, f, k, u, t, g, l
d, a, b, i, f, k, m, j, h
c, c, a, m, f, s, r, s, i
d, a, b, k, m, u, q, l, j
d, b, b, s, f, k, p, f, l
a, d, b, i, o, i, r, t, l
b, a, d, r, o, s, t, q, j
b, a, a, g, u, p, l, e, u
b, b, c, l, i, p, o, u, q
c, c, c, m, s, r, u, j, l
a, c, c, o, j, k, r, u, l
c, c, a, o, f, e, f, s, o
a, b, c, h, h, s, o, m, h
a, a, b, j, q, t, i, j, q
a, c, c, f, h, k, r, s, g
