% continuousInputs: false
% addNoisyOutputs: true
% numNoisyOutputColumns: 3
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE noise1 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise2 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise3 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
b, b, a, n2, n15, n5, j, u, j
b, a, b, n12, n1, n4, l, j, q
a, d, a, n11, n2, n11, e, l, l
c, b, c, n16, n3, n5, l, j, p
c, a, b, n16, n9, n13, l, j, q
b, c, b, n14, n14, n13, l, j, q
a, a, a, n15, n12, n9, e, u, i
b, c, a, n2, n7, n6, l, q, m
b, a, a, n14, n4, n9, u, k, o
d, d, a, n9, n14, n13, g, g, o
d, a, d, n9, n2, n8, l, j, q
b, a, a, n2, n4, n10, r, l, i
c, b, c, n14, n7, n6, r, l, i
b, b, b, n4, n8, n8, r, l, i
c, b, c, n7, n15, n9, g, s, u
c, b, c, n5, n10, n8, r, l, i
b, c, a, n10, n2, n15, l, q, m
d, b, c, n14, n7, n16, g, s, u
d, b, c, n11, n8, n4, l, q, m
a, c, d, n3, n6, n16, f, h, m
b, b, a, n6, n13, n11, q, m, e
d, d, b, n12, n3, n13, l, j, q
d, d, a, n12, n13, n9, l, j, q
c, b, c, n7, n3, n4, j, e, j
b, c, b, n13, n5, n11, m, j, q
a, b, b, n1, n7, n4, s, l, i
b, a, a, n7, n12, n14, u, j, p
b, a, c, n11, n6, n15, q, i, r
b, c, a, n3, n5, n11, l, q, m
d, d, a, n5, n5, n10, m, t, h
d, a, a, n9, n2, n4, l, j, q
b, b, b, n16, n6, n6, r, l, i
a, b, c, n2, n3, n16, l, q, h
b, b, b, n5, n1, n4, r, l, i
c, b, c, n7, n15, n11, s, l, i
b, b, b, n8, n2, n6, r, l, i
d, d, d, n3, n2, n6, u, l, q
b, d, a, n4, n5, n12, j, e, j
c, a, c, n3, n7, n6, r, h, r
b, c, b, n12, n11, n2, l, p, h
d, b, c, n14, n1, n6, g, s, u
a, d, a, n3, n15, n8, e, l, l
d, d, a, n15, n8, n4, m, t, h
b, c, a, n16, n4, n3, l, q, m
a, a, a, n15, n14, n4, l, q, h
d, b, c, n5, n16, n11, l, q, h
d, d, b, n11, n12, n15, l, j, q
c, a, c, n2, n9, n12, l, j, q
b, b, a, n14, n6, n12, j, e, j
a, d, c, n6, n7, n10, l, j, q
b, c, a, n15, n11, n13, l, q, m
d, d, d, n14, n5, n13, l, j, q
b, c, d, n6, n8, n4, l, e, p
b, c, a, n8, n15, n15, l, q, m
c, a, c, n9, n4, n15, r, l, j
c, d, d, n6, n14, n7, u, l, q
a, c, d, n4, n15, n10, l, f, p
c, a, a, n4, n12, n2, l, j, q
a, c, d, n10, n10, n12, l, f, p
d, a, a, n11, n5, n15, e, u, i
b, b, a, n16, n15, n5, l, f, p
b, c, b, n7, n5, n16, l, q, h
c, b, c, n5, n9, n14, l, j, q
a, a, a, n16, n6, n11, m, q, h
a, d, a, n5, n12, n15, l, j, q
b, a, c, n9, n1, n6, q, h, r
c, b, c, n7, n4, n15, l, j, q
a, a, a, n5, n11, n10, l, q, h
b, b, a, n1, n8, n1, r, m, e
b, c, b, n4, n6, n4, r, l, i
d, b, c, n11, n13, n15, g, s, u
